accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,date,time
-14.77,25.46,0.70,0.00,-0.27,-0.03,2025-2-7,8:0:17
-8.16,46.50,12.81,0.02,-0.14,-0.04,2025-2-7,8:0:18
-19.67,16.51,3.92,0.02,-0.10,-0.01,2025-2-7,8:0:18
-0.30,-18.24,11.40,0.07,-0.25,-0.04,2025-2-7,8:0:18
55.06,-56.38,21.91,-0.04,0.14,0.04,2025-2-7,8:0:18
53.39,-55.29,24.90,0.09,-0.18,-0.02,2025-2-7,8:0:18
-23.10,-52.59,14.12,-0.07,0.24,0.05,2025-2-7,8:0:18
0.05,-50.56,4.61,0.01,-0.00,0.02,2025-2-7,8:0:18
-3.25,-72.17,12.72,-0.04,0.21,0.01,2025-2-7,8:0:18
-13.68,-67.21,4.25,-0.03,0.28,0.03,2025-2-7,8:0:18
-13.94,-32.99,1.97,0.02,-0.01,0.01,2025-2-7,8:0:18
16.17,-36.88,4.73,-0.09,0.23,0.01,2025-2-7,8:0:18
-27.93,5.67,0.72,-0.00,0.17,0.05,2025-2-7,8:0:18
19.98,49.22,12.41,-0.06,-0.09,-0.03,2025-2-7,8:0:18
-50.69,61.86,23.50,0.01,-0.19,-0.01,2025-2-7,8:0:18
-46.71,1.72,-3.87,0.08,-0.19,-0.05,2025-2-7,8:0:18
-26.24,14.08,2.68,-0.06,0.26,0.00,2025-2-7,8:0:18
-59.70,1.93,-2.95,0.03,0.23,0.05,2025-2-7,8:0:18
0.01,6.62,4.54,-0.00,0.07,-0.03,2025-2-7,8:0:18
-28.28,25.80,-10.90,-0.00,0.31,0.03,2025-2-7,8:0:18
78.97,15.27,8.08,0.04,-0.18,-0.05,2025-2-7,8:0:18
53.30,32.64,8.44,0.01,0.09,-0.02,2025-2-7,8:0:18
-22.89,10.42,2.64,0.02,-0.15,-0.02,2025-2-7,8:0:18
-14.15,-45.33,4.38,0.03,-0.21,-0.05,2025-2-7,8:0:18
-5.61,-63.51,-1.78,0.00,0.15,-0.03,2025-2-7,8:0:18
-17.95,-55.58,1.07,0.06,-0.12,-0.02,2025-2-7,8:0:18
-7.81,-40.65,1.14,0.05,-0.19,-0.05,2025-2-7,8:0:18
-11.18,-49.39,0.26,0.03,0.13,0.03,2025-2-7,8:0:18
4.52,-34.60,3.71,0.04,-0.19,-0.03,2025-2-7,8:0:18
-5.34,-43.18,11.01,0.06,-0.03,-0.03,2025-2-7,8:0:19
-19.06,-50.25,-3.00,0.00,-0.17,-0.02,2025-2-7,8:0:19
-15.97,-51.82,4.48,0.08,-0.17,-0.04,2025-2-7,8:0:19
63.51,35.79,8.02,0.02,0.04,0.02,2025-2-7,8:0:19
30.67,30.46,7.58,0.07,-0.21,-0.04,2025-2-7,8:0:19
-2.81,50.83,14.19,-0.02,0.20,0.05,2025-2-7,8:0:19
-6.16,58.74,21.45,0.02,0.02,0.02,2025-2-7,8:0:19
-52.00,61.31,22.18,-0.08,0.19,-0.01,2025-2-7,8:0:19
-66.73,46.73,15.13,-0.01,0.29,0.04,2025-2-7,8:0:19
-42.78,3.62,0.74,-0.06,-0.18,-0.04,2025-2-7,8:0:19
-20.73,1.66,-0.07,-0.07,0.18,0.01,2025-2-7,8:0:19
3.71,-12.20,7.47,-0.03,0.22,0.05,2025-2-7,8:0:19
43.43,-8.29,24.73,-0.05,-0.19,-0.04,2025-2-7,8:0:19
-20.07,-47.72,11.40,0.04,-0.10,0.02,2025-2-7,8:0:19
9.29,-63.68,23.72,0.02,-0.37,-0.03,2025-2-7,8:0:19
1.03,-45.08,19.73,-0.08,-0.09,-0.03,2025-2-7,8:0:19
22.58,-61.44,20.50,0.03,-0.31,-0.00,2025-2-7,8:0:19
7.68,-43.12,5.36,-0.01,-0.32,-0.04,2025-2-7,8:0:19
-30.75,-23.77,0.32,-0.01,0.08,0.04,2025-2-7,8:0:19
3.44,-30.63,6.22,0.04,-0.23,-0.02,2025-2-7,8:0:19
-26.17,-23.87,5.03,-0.02,0.27,0.05,2025-2-7,8:0:19
20.94,-49.45,14.02,0.02,-0.04,0.03,2025-2-7,8:0:19
-36.32,-13.50,6.97,0.04,-0.36,-0.03,2025-2-7,8:0:19
0.32,12.51,20.42,0.07,-0.22,-0.05,2025-2-7,8:0:19
60.37,-50.56,22.70,-0.01,0.08,-0.03,2025-2-7,8:0:19
45.23,-30.98,16.80,0.06,-0.07,0.00,2025-2-7,8:0:19
7.95,-65.37,19.46,0.02,-0.26,-0.04,2025-2-7,8:0:19
-17.55,-48.59,7.10,-0.01,-0.10,-0.04,2025-2-7,8:0:19
12.01,-65.64,9.65,0.07,-0.09,0.00,2025-2-7,8:0:20
0.84,-41.90,2.14,0.04,-0.22,-0.04,2025-2-7,8:0:20
-16.13,-49.14,12.89,-0.03,0.05,0.02,2025-2-7,8:0:20
1.85,-48.87,2.96,0.11,-0.22,-0.03,2025-2-7,8:0:20
-1.91,-66.35,9.15,-0.05,0.18,0.05,2025-2-7,8:0:20
-0.93,21.03,12.51,0.05,-0.06,0.00,2025-2-7,8:0:20
33.83,26.63,7.87,-0.02,0.26,0.02,2025-2-7,8:0:20
14.79,15.40,-4.17,-0.03,0.22,0.04,2025-2-7,8:0:20
62.67,38.05,7.47,-0.05,-0.03,-0.03,2025-2-7,8:0:20
33.33,56.15,14.19,-0.04,0.28,0.03,2025-2-7,8:0:20
-16.76,32.26,18.35,0.01,0.15,0.04,2025-2-7,8:0:20
-72.40,53.30,21.57,-0.04,-0.01,-0.03,2025-2-7,8:0:20
-52.24,63.34,-3.33,-0.03,0.26,0.03,2025-2-7,8:0:20
-82.13,63.87,-8.98,-0.01,-0.32,-0.05,2025-2-7,8:0:20
-7.18,34.33,4.84,-0.06,-0.04,-0.03,2025-2-7,8:0:20
25.96,-17.07,22.51,0.02,-0.22,0.01,2025-2-7,8:0:20
14.33,-54.83,16.95,-0.05,-0.32,-0.04,2025-2-7,8:0:20
-6.47,-50.62,-2.62,0.04,0.20,0.06,2025-2-7,8:0:20
38.01,38.26,8.44,0.07,0.07,0.07,2025-2-7,8:0:20
-38.99,54.85,11.91,0.03,0.03,0.04,2025-2-7,8:0:20
55.77,-51.02,17.60,-0.03,-0.12,-0.03,2025-2-7,8:0:20
-43.57,28.54,-3.50,-0.02,0.06,-0.03,2025-2-7,8:0:20
-2.91,-29.29,15.17,-0.07,-0.15,-0.01,2025-2-7,8:0:20
8.10,7.43,7.16,-0.06,-0.05,-0.01,2025-2-7,8:0:20
-27.14,26.36,9.96,-0.08,-0.25,-0.01,2025-2-7,8:0:20
-26.72,58.51,10.21,0.00,0.12,-0.02,2025-2-7,8:0:20
29.31,-29.90,15.86,-0.01,0.09,-0.02,2025-2-7,8:0:20
7.95,-40.19,26.19,0.02,0.15,0.04,2025-2-7,8:0:20
-5.99,-54.22,0.22,0.08,-0.03,0.02,2025-2-7,8:0:20
14.86,-57.80,3.88,-0.05,0.19,0.00,2025-2-7,8:0:21
1.95,-47.93,2.18,-0.04,0.19,0.04,2025-2-7,8:0:21
1.36,-57.26,14.50,0.09,-0.21,-0.01,2025-2-7,8:0:21
11.47,-55.81,8.35,-0.03,0.14,0.03,2025-2-7,8:0:21
47.21,-31.74,19.88,0.02,-0.27,-0.02,2025-2-7,8:0:21
15.30,-66.19,13.25,0.00,0.22,0.04,2025-2-7,8:0:21
-41.29,9.40,1.14,0.02,-0.08,0.01,2025-2-7,8:0:21
24.86,31.49,13.41,-0.06,0.10,-0.02,2025-2-7,8:0:21
-71.58,23.96,-1.55,0.07,0.15,-0.00,2025-2-7,8:0:21
58.53,-27.30,26.11,0.05,0.11,0.01,2025-2-7,8:0:21
-23.85,-42.09,2.52,-0.00,0.13,-0.00,2025-2-7,8:0:21
36.74,25.46,12.87,-0.05,-0.17,-0.03,2025-2-7,8:0:21
-76.44,52.90,10.90,-0.03,-0.00,-0.03,2025-2-7,8:0:21
-22.70,36.21,2.87,-0.03,0.05,0.03,2025-2-7,8:0:21
12.76,-11.20,14.12,0.08,-0.19,-0.02,2025-2-7,8:0:21
12.70,-51.84,13.77,0.02,0.24,0.05,2025-2-7,8:0:21
28.31,-56.84,9.56,-0.01,0.15,0.06,2025-2-7,8:0:21
-35.59,-2.35,5.51,0.01,-0.11,-0.05,2025-2-7,8:0:21
66.27,43.05,14.71,-0.02,0.05,-0.03,2025-2-7,8:0:21
-67.80,48.95,9.35,0.03,0.18,0.01,2025-2-7,8:0:21
-4.29,-7.12,12.26,0.04,0.03,-0.02,2025-2-7,8:0:21
26.28,-61.73,7.64,-0.02,-0.09,-0.04,2025-2-7,8:0:21
15.36,-6.16,9.90,0.02,0.08,-0.01,2025-2-7,8:0:21
-1.55,37.68,8.69,-0.01,0.17,-0.01,2025-2-7,8:0:21
-43.74,23.47,0.45,0.08,0.03,0.03,2025-2-7,8:0:21
27.82,35.44,16.45,-0.07,-0.22,-0.04,2025-2-7,8:0:21
-35.94,32.51,5.92,-0.01,-0.06,-0.03,2025-2-7,8:0:21
36.88,-15.05,23.83,0.11,0.21,0.05,2025-2-7,8:0:21
-23.58,-29.52,0.24,0.04,0.09,-0.01,2025-2-7,8:0:21
10.38,8.46,-1.22,0.13,0.17,0.02,2025-2-7,8:0:22
-32.05,33.62,10.90,-0.01,0.16,0.02,2025-2-7,8:0:22
8.20,-44.41,6.99,0.05,0.17,0.02,2025-2-7,8:0:22
4.73,25.82,9.50,-0.10,-0.19,-0.02,2025-2-7,8:0:22
-33.20,43.03,13.22,-0.01,-0.17,-0.03,2025-2-7,8:0:22
46.25,-32.32,20.53,-0.13,-0.08,-0.01,2025-2-7,8:0:22
15.51,3.77,14.56,0.01,-0.24,-0.02,2025-2-7,8:0:22
-44.70,12.20,0.38,0.02,-0.00,0.01,2025-2-7,8:0:22
-19.14,-50.23,1.05,-0.02,-0.00,-0.01,2025-2-7,8:0:22
-10.94,24.92,9.69,0.05,-0.07,-0.00,2025-2-7,8:0:22
37.63,0.74,19.08,-0.06,0.02,0.01,2025-2-7,8:0:22
-51.50,19.04,7.47,0.05,0.06,0.01,2025-2-7,8:0:22
24.39,1.78,11.24,0.01,0.07,-0.00,2025-2-7,8:0:22
16.49,1.34,9.08,-0.02,0.00,-0.00,2025-2-7,8:0:22
-15.42,-0.32,9.00,-0.03,-0.00,0.00,2025-2-7,8:0:22
-8.00,8.64,12.76,0.03,-0.00,-0.00,2025-2-7,8:0:22
-15.53,-2.05,5.46,-0.01,-0.03,-0.00,2025-2-7,8:0:22
17.64,-26.53,12.05,-0.02,0.00,0.00,2025-2-7,8:0:22
56.82,-0.63,16.05,0.04,-0.03,0.01,2025-2-7,8:0:22
-102.50,18.60,-7.39,-0.01,0.03,0.01,2025-2-7,8:0:22
-5.78,-5.93,20.50,0.00,0.02,0.00,2025-2-7,8:0:22
0.65,-19.94,15.96,-0.13,0.01,-0.02,2025-2-7,8:0:22
-13.16,-13.20,10.65,0.01,0.00,-0.01,2025-2-7,8:0:22
-6.38,11.97,9.86,-0.02,0.03,0.01,2025-2-7,8:0:22
5.47,21.34,-4.42,0.05,0.05,-0.01,2025-2-7,8:0:22
35.38,-38.53,23.37,0.06,0.01,0.01,2025-2-7,8:0:22
-15.13,-23.83,8.62,0.04,0.07,0.00,2025-2-7,8:0:22
24.00,41.27,11.20,0.04,0.12,0.02,2025-2-7,8:0:22
-58.20,23.81,-2.03,0.05,0.17,0.02,2025-2-7,8:0:22
12.28,-6.78,8.41,-0.02,0.28,0.05,2025-2-7,8:0:23
11.95,7.24,6.45,0.03,-0.29,-0.03,2025-2-7,8:0:23
0.42,36.38,19.35,-0.18,0.18,0.01,2025-2-7,8:0:23
-36.17,6.15,-3.71,-0.07,0.10,0.01,2025-2-7,8:0:23
8.85,-29.12,11.28,0.03,-0.03,0.00,2025-2-7,8:0:23
-3.88,6.51,8.52,-0.02,-0.10,0.01,2025-2-7,8:0:23
12.77,2.62,5.49,-0.03,-0.01,0.00,2025-2-7,8:0:23
-7.37,-27.11,9.08,-0.15,0.05,0.01,2025-2-7,8:0:23
15.11,4.46,16.03,0.12,-0.15,-0.01,2025-2-7,8:0:23
-38.18,20.67,7.87,-0.17,0.20,0.01,2025-2-7,8:0:23
-5.92,-26.47,8.27,-0.17,0.21,0.01,2025-2-7,8:0:23
-39.24,5.30,4.21,0.21,-0.19,-0.00,2025-2-7,8:0:23
-12.37,35.17,7.74,0.15,-0.24,-0.01,2025-2-7,8:0:23
30.46,22.47,17.79,-0.09,0.16,0.00,2025-2-7,8:0:23
-23.10,19.40,-3.42,-0.07,0.09,0.00,2025-2-7,8:0:23
-24.88,9.59,-5.86,-0.10,0.28,0.01,2025-2-7,8:0:23
-29.50,-0.55,-1.89,0.03,0.04,0.01,2025-2-7,8:0:23
40.48,38.60,8.25,-0.14,0.24,0.00,2025-2-7,8:0:23
19.37,33.24,5.69,-0.07,0.11,0.02,2025-2-7,8:0:23
39.35,24.81,14.98,-0.03,0.16,-0.02,2025-2-7,8:0:23
-51.21,50.19,16.38,-0.02,0.28,0.03,2025-2-7,8:0:23
-75.06,19.63,-5.97,0.01,-0.27,-0.03,2025-2-7,8:0:23
42.38,-33.60,12.37,-0.08,-0.30,-0.04,2025-2-7,8:0:23
3.92,-47.67,19.83,0.05,0.19,0.05,2025-2-7,8:0:23
-19.06,17.32,9.00,0.06,0.15,0.05,2025-2-7,8:0:23
53.20,38.39,9.98,0.01,0.14,0.04,2025-2-7,8:0:23
49.41,36.15,14.67,-0.08,-0.09,-0.03,2025-2-7,8:0:23
3.18,-73.47,2.39,-0.02,0.01,0.01,2025-2-7,8:0:23
3.39,-9.65,10.25,0.03,-0.19,-0.04,2025-2-7,8:0:23
-26.55,46.02,5.00,0.02,0.17,0.01,2025-2-7,8:0:24
10.49,-28.43,16.76,0.04,0.15,0.00,2025-2-7,8:0:24
13.62,28.56,6.01,0.06,0.04,0.01,2025-2-7,8:0:24
-111.09,-1.70,-1.78,-0.04,-0.10,0.02,2025-2-7,8:0:24
52.70,9.73,14.69,-0.01,0.11,0.01,2025-2-7,8:0:24
27.09,-0.30,17.09,0.05,-0.01,-0.01,2025-2-7,8:0:24
-16.28,2.58,6.66,-0.01,-0.04,0.01,2025-2-7,8:0:24
-60.71,-0.47,-3.83,-0.09,-0.01,0.00,2025-2-7,8:0:24
97.69,-17.43,12.72,0.03,0.01,-0.01,2025-2-7,8:0:24
-114.78,13.98,-12.05,0.00,0.01,0.00,2025-2-7,8:0:24
43.87,-1.59,21.82,-0.00,0.01,-0.00,2025-2-7,8:0:24
-6.47,-38.24,18.52,0.04,-0.04,-0.01,2025-2-7,8:0:24
-20.63,-8.12,1.18,-0.04,0.01,0.01,2025-2-7,8:0:24
2.77,-37.55,9.02,0.02,-0.02,-0.01,2025-2-7,8:0:24
59.16,-17.37,31.78,-0.03,0.01,0.00,2025-2-7,8:0:24
-3.87,-13.14,19.21,-0.11,-0.10,0.00,2025-2-7,8:0:24
32.66,20.21,13.68,0.10,0.08,0.00,2025-2-7,8:0:24
-49.73,43.99,3.87,-0.01,0.16,0.03,2025-2-7,8:0:24
10.63,-55.31,4.69,0.06,-0.01,-0.02,2025-2-7,8:0:24
5.05,-56.69,4.69,0.02,0.10,-0.01,2025-2-7,8:0:24
-17.99,-41.63,16.51,-0.15,0.28,0.03,2025-2-7,8:0:24
-5.19,-8.69,16.88,0.21,-0.30,-0.01,2025-2-7,8:0:24
-23.50,-2.81,10.02,0.05,-0.02,-0.01,2025-2-7,8:0:24
1.64,28.60,21.11,0.02,-0.12,-0.01,2025-2-7,8:0:24
-3.94,-20.50,8.85,0.04,-0.15,-0.00,2025-2-7,8:0:24
-12.12,7.70,4.19,0.08,0.03,-0.00,2025-2-7,8:0:24
0.17,-2.89,6.24,0.11,-0.10,-0.02,2025-2-7,8:0:24
-1.95,-21.76,14.31,-0.16,0.18,0.00,2025-2-7,8:0:24
29.94,-11.47,11.09,-0.02,0.16,0.01,2025-2-7,8:0:25
2.37,28.08,8.87,0.10,0.02,-0.00,2025-2-7,8:0:25
7.37,-44.41,9.42,-0.13,0.17,0.01,2025-2-7,8:0:25
25.96,-11.74,18.22,-0.06,0.17,0.02,2025-2-7,8:0:25
-15.76,18.96,4.23,-0.17,0.15,0.02,2025-2-7,8:0:25
-9.67,34.22,21.17,-0.08,-0.02,0.01,2025-2-7,8:0:25
-14.50,14.63,1.62,0.01,0.14,0.00,2025-2-7,8:0:25
1.16,-7.66,9.21,0.07,-0.26,-0.02,2025-2-7,8:0:25
20.80,-56.19,1.07,0.00,-0.07,-0.01,2025-2-7,8:0:25
18.24,-40.35,1.95,0.11,-0.28,-0.04,2025-2-7,8:0:25
12.45,19.48,7.28,0.02,0.04,0.01,2025-2-7,8:0:25
40.90,28.70,10.44,0.03,-0.23,-0.03,2025-2-7,8:0:25
-62.59,54.35,19.44,-0.02,0.27,0.04,2025-2-7,8:0:25
-78.15,67.55,-17.49,0.05,0.21,0.04,2025-2-7,8:0:25
0.03,-40.50,2.98,-0.06,-0.19,-0.04,2025-2-7,8:0:25
15.97,2.06,8.73,-0.05,0.16,0.01,2025-2-7,8:0:25
0.19,-7.01,7.85,-0.02,0.25,0.05,2025-2-7,8:0:25
14.35,-16.74,15.42,0.00,-0.20,-0.04,2025-2-7,8:0:25
17.49,-8.54,10.59,-0.08,0.22,0.01,2025-2-7,8:0:25
-15.57,17.70,10.84,0.06,-0.22,-0.03,2025-2-7,8:0:25
39.48,-53.32,21.74,-0.03,0.15,-0.00,2025-2-7,8:0:25
63.70,-55.67,25.63,0.06,-0.23,-0.03,2025-2-7,8:0:25
56.90,-39.52,21.67,0.02,0.02,-0.00,2025-2-7,8:0:25
68.44,-43.89,26.17,0.07,-0.25,-0.01,2025-2-7,8:0:25
55.27,-41.27,20.42,0.01,-0.19,-0.02,2025-2-7,8:0:25
62.78,-36.65,25.71,-0.07,0.17,0.01,2025-2-7,8:0:25
58.78,-40.31,19.54,0.08,-0.28,-0.03,2025-2-7,8:0:25
-2.91,-66.40,19.65,-0.05,-0.06,-0.02,2025-2-7,8:0:25
-20.32,-48.39,12.93,0.06,-0.15,-0.02,2025-2-7,8:0:25
78.78,24.12,13.79,-0.04,0.25,0.04,2025-2-7,8:0:26
-39.37,61.31,19.23,0.02,-0.12,-0.01,2025-2-7,8:0:26
-35.75,35.06,25.63,-0.08,0.21,0.04,2025-2-7,8:0:26
18.50,47.72,19.08,-0.02,0.06,0.02,2025-2-7,8:0:26
32.70,41.76,22.81,-0.07,0.19,0.03,2025-2-7,8:0:26
58.57,45.37,11.55,-0.01,0.18,0.02,2025-2-7,8:0:26
78.40,33.33,13.23,-0.07,0.17,0.02,2025-2-7,8:0:26
1.99,27.01,1.34,-0.03,0.23,0.03,2025-2-7,8:0:26
18.02,38.78,6.97,0.01,-0.15,-0.01,2025-2-7,8:0:26
-41.19,5.49,-0.34,-0.06,0.25,0.04,2025-2-7,8:0:26
-40.84,7.33,-2.77,-0.01,-0.02,0.01,2025-2-7,8:0:26
43.81,34.04,8.14,-0.10,0.24,0.03,2025-2-7,8:0:26
79.11,27.37,14.60,-0.02,0.02,0.00,2025-2-7,8:0:26
52.74,35.59,9.36,-0.04,0.20,0.02,2025-2-7,8:0:26
58.07,22.22,11.76,-0.06,0.17,0.02,2025-2-7,8:0:26
17.45,31.09,0.80,0.00,0.14,0.01,2025-2-7,8:0:26
61.79,14.31,17.22,-0.07,0.26,0.03,2025-2-7,8:0:26
-13.58,41.78,18.54,0.05,-0.21,-0.02,2025-2-7,8:0:26
-28.03,-2.29,10.02,-0.01,0.04,-0.01,2025-2-7,8:0:26
-31.30,-4.08,1.57,-0.02,-0.03,0.01,2025-2-7,8:0:26
-51.44,33.95,-14.69,0.03,0.07,0.01,2025-2-7,8:0:26
-52.82,-0.99,5.34,-0.01,-0.09,-0.00,2025-2-7,8:0:26
-7.39,9.88,6.28,-0.00,-0.06,0.00,2025-2-7,8:0:26
13.39,1.34,19.06,-0.00,-0.04,0.01,2025-2-7,8:0:26
39.37,-5.03,17.66,0.02,0.03,-0.02,2025-2-7,8:0:26
82.48,-17.70,22.89,0.04,-0.02,-0.01,2025-2-7,8:0:26
-3.69,-0.82,20.80,0.02,0.02,-0.01,2025-2-7,8:0:26
106.68,1.36,16.36,-0.02,-0.03,-0.00,2025-2-7,8:0:26
-11.99,-16.22,15.59,0.02,-0.01,-0.00,2025-2-7,8:0:26
4.86,-1.66,3.65,-0.00,0.03,0.01,2025-2-7,8:0:27
64.03,7.43,31.59,-0.03,0.01,-0.00,2025-2-7,8:0:27
13.81,-10.69,20.02,-0.05,-0.10,0.02,2025-2-7,8:0:27
-26.19,-19.69,5.63,0.01,0.04,-0.01,2025-2-7,8:0:27
-53.47,57.92,-0.03,0.07,0.09,0.00,2025-2-7,8:0:27
1.87,-24.08,8.67,-0.03,-0.10,-0.01,2025-2-7,8:0:27
-0.09,-38.33,21.55,0.04,0.14,0.03,2025-2-7,8:0:27
-24.35,10.51,8.48,0.00,0.20,0.05,2025-2-7,8:0:27
-37.95,15.61,-8.69,-0.01,0.17,0.04,2025-2-7,8:0:27
14.86,-35.02,10.78,-0.14,0.10,0.00,2025-2-7,8:0:27
-9.75,-34.35,21.82,-0.03,-0.06,-0.01,2025-2-7,8:0:27
42.99,-13.43,21.55,-0.09,0.23,0.02,2025-2-7,8:0:27
22.11,0.97,12.09,0.13,-0.26,-0.02,2025-2-7,8:0:27
-4.57,29.75,10.40,0.18,-0.24,-0.01,2025-2-7,8:0:27
-22.43,-3.14,1.59,-0.16,0.21,0.00,2025-2-7,8:0:27
9.12,-37.30,12.49,-0.12,0.16,0.02,2025-2-7,8:0:27
10.82,-5.69,7.98,0.09,-0.09,-0.01,2025-2-7,8:0:27
-0.84,51.21,15.23,-0.03,0.06,-0.00,2025-2-7,8:0:27
4.65,37.84,21.55,0.07,-0.21,-0.02,2025-2-7,8:0:27
21.13,34.52,10.69,-0.08,0.28,0.03,2025-2-7,8:0:27
-39.46,15.25,-6.01,-0.07,0.03,-0.01,2025-2-7,8:0:27
-36.99,9.06,0.26,-0.02,0.26,0.04,2025-2-7,8:0:27
-12.91,41.67,18.41,0.01,-0.13,-0.04,2025-2-7,8:0:27
-57.86,45.27,20.23,-0.04,0.18,0.01,2025-2-7,8:0:27
-70.33,32.32,2.73,0.05,-0.29,-0.04,2025-2-7,8:0:27
-19.33,-14.50,-0.17,-0.01,-0.18,-0.05,2025-2-7,8:0:27
31.42,-37.78,21.91,0.05,0.10,0.04,2025-2-7,8:0:27
-8.20,-52.00,6.38,0.04,-0.01,0.00,2025-2-7,8:0:27
7.93,20.98,12.14,-0.06,-0.08,-0.03,2025-2-7,8:0:27
44.22,43.32,20.44,0.00,0.08,-0.02,2025-2-7,8:0:28
24.10,-46.06,21.17,0.05,0.05,0.02,2025-2-7,8:0:28
-26.01,-32.15,0.95,-0.05,-0.06,-0.04,2025-2-7,8:0:28
-24.92,40.71,9.61,0.00,0.18,-0.01,2025-2-7,8:0:28
-77.00,56.44,-1.68,0.05,-0.08,-0.02,2025-2-7,8:0:28
-8.83,-0.28,6.80,-0.05,-0.28,-0.05,2025-2-7,8:0:28
46.48,-45.73,15.00,-0.05,-0.24,-0.06,2025-2-7,8:0:28
24.12,-51.04,11.43,-0.02,0.03,-0.04,2025-2-7,8:0:28
3.52,-52.93,14.90,-0.01,0.27,0.03,2025-2-7,8:0:28
0.45,-59.91,8.04,-0.01,-0.29,-0.05,2025-2-7,8:0:28
-13.77,-63.63,0.22,-0.03,-0.02,-0.03,2025-2-7,8:0:28
3.06,15.76,8.83,-0.02,-0.07,-0.01,2025-2-7,8:0:28
-28.29,-8.39,6.24,-0.00,-0.10,-0.03,2025-2-7,8:0:28
4.17,-2.66,12.18,-0.04,-0.09,0.00,2025-2-7,8:0:28
24.62,-2.28,9.94,-0.05,-0.09,0.00,2025-2-7,8:0:28
